Run dir: /root/autodl-tmp/hwnas/results/backbone_nksid_av7k325_gpu_formal_structured_20260329_011516
Using device: cuda
Dataset: nksid
Image size: 224
Input channels: 1
Board: ALINX AV7K325 (XC7K325T-2FFG900I) @ 200MHz
[NKSID] 加载完成: 2097 张图片, 8 个类别
  折数: 0, 划分: train
[NKSID] 加载完成: 520 张图片, 8 个类别
  折数: 0, 划分: val
Backbone candidates: ['simplecnn', 'mobilenet_v2_pretrained', 'mobilenet_v2_scratch', 'fbnet_like', 'shufflenet_v2', 'efficientnet_b0']

=== Backbone: SimpleCNN (simplecnn) ===
Complexity: params=106,056, macs=122,913,408, cpu_latency=36.84ms, fpga_latency=7.27ms
Epoch 44/240: train_loss=0.3112, train_acc=0.9056, val_loss=0.6549, val_top1=0.7596, val_macro_f1=0.6956, lr=0.000937
Epoch 45/240: train_loss=0.3396, train_acc=0.8951, val_loss=0.2230, val_top1=0.9365, val_macro_f1=0.8439, lr=0.000934
Epoch 46/240: train_loss=0.3379, train_acc=0.9032, val_loss=0.2024, val_top1=0.9404, val_macro_f1=0.8902, lr=0.000931
Epoch 47/240: train_loss=0.3523, train_acc=0.8908, val_loss=0.1985, val_top1=0.9365, val_macro_f1=0.8833, lr=0.000927
Epoch 48/240: train_loss=0.3135, train_acc=0.9118, val_loss=0.1733, val_top1=0.9308, val_macro_f1=0.8476, lr=0.000924
Epoch 49/240: train_loss=0.2631, train_acc=0.9175, val_loss=0.2010, val_top1=0.9462, val_macro_f1=0.8814, lr=0.000920
Epoch 50/240: train_loss=0.3094, train_acc=0.9142, val_loss=0.3918, val_top1=0.8962, val_macro_f1=0.7974, lr=0.000917
Epoch 51/240: train_loss=0.3029, train_acc=0.9127, val_loss=0.3065, val_top1=0.8846, val_macro_f1=0.8255, lr=0.000913
Epoch 52/240: train_loss=0.2512, train_acc=0.9266, val_loss=0.2265, val_top1=0.9250, val_macro_f1=0.8773, lr=0.000909
Epoch 53/240: train_loss=0.2841, train_acc=0.9151, val_loss=0.2165, val_top1=0.9481, val_macro_f1=0.8859, lr=0.000905
Epoch 54/240: train_loss=0.2508, train_acc=0.9332, val_loss=0.1570, val_top1=0.9462, val_macro_f1=0.8955, lr=0.000902
Epoch 55/240: train_loss=0.2047, train_acc=0.9442, val_loss=0.1516, val_top1=0.9558, val_macro_f1=0.9082, lr=0.000898
Epoch 56/240: train_loss=0.1916, train_acc=0.9552, val_loss=0.2003, val_top1=0.9462, val_macro_f1=0.8894, lr=0.000893
Epoch 57/240: train_loss=0.2015, train_acc=0.9433, val_loss=0.2565, val_top1=0.9192, val_macro_f1=0.8336, lr=0.000889
Epoch 58/240: train_loss=0.2002, train_acc=0.9456, val_loss=0.2007, val_top1=0.9423, val_macro_f1=0.8845, lr=0.000885
Epoch 59/240: train_loss=0.2530, train_acc=0.9318, val_loss=0.2230, val_top1=0.9192, val_macro_f1=0.8630, lr=0.000881
Epoch 60/240: train_loss=0.2246, train_acc=0.9351, val_loss=0.1899, val_top1=0.9558, val_macro_f1=0.9092, lr=0.000877
Epoch 61/240: train_loss=0.2110, train_acc=0.9323, val_loss=0.1750, val_top1=0.9442, val_macro_f1=0.8926, lr=0.000872
Epoch 62/240: train_loss=0.1761, train_acc=0.9447, val_loss=0.2305, val_top1=0.9154, val_macro_f1=0.8612, lr=0.000868
Epoch 63/240: train_loss=0.1972, train_acc=0.9442, val_loss=0.1594, val_top1=0.9654, val_macro_f1=0.9243, lr=0.000863
Epoch 64/240: train_loss=0.1672, train_acc=0.9499, val_loss=0.2122, val_top1=0.9423, val_macro_f1=0.8783, lr=0.000859
Epoch 65/240: train_loss=0.1653, train_acc=0.9566, val_loss=0.2111, val_top1=0.9558, val_macro_f1=0.8863, lr=0.000854
Epoch 66/240: train_loss=0.1744, train_acc=0.9475, val_loss=0.2021, val_top1=0.9654, val_macro_f1=0.9126, lr=0.000849
Epoch 67/240: train_loss=0.2287, train_acc=0.9356, val_loss=0.2246, val_top1=0.9250, val_macro_f1=0.8807, lr=0.000844
Epoch 68/240: train_loss=0.1856, train_acc=0.9495, val_loss=0.1942, val_top1=0.9365, val_macro_f1=0.8995, lr=0.000839
Epoch 69/240: train_loss=0.1402, train_acc=0.9599, val_loss=0.1803, val_top1=0.9500, val_macro_f1=0.9081, lr=0.000835
Epoch 70/240: train_loss=0.1724, train_acc=0.9499, val_loss=0.1558, val_top1=0.9673, val_macro_f1=0.9345, lr=0.000830
Epoch 71/240: train_loss=0.1805, train_acc=0.9471, val_loss=0.1916, val_top1=0.9519, val_macro_f1=0.8951, lr=0.000825
Epoch 72/240: train_loss=0.2216, train_acc=0.9328, val_loss=0.1457, val_top1=0.9500, val_macro_f1=0.9065, lr=0.000820
Epoch 73/240: train_loss=0.1718, train_acc=0.9533, val_loss=0.1369, val_top1=0.9731, val_macro_f1=0.9468, lr=0.000814
Epoch 74/240: train_loss=0.1669, train_acc=0.9533, val_loss=0.1908, val_top1=0.9423, val_macro_f1=0.8739, lr=0.000809
Epoch 75/240: train_loss=0.1967, train_acc=0.9447, val_loss=0.4681, val_top1=0.8327, val_macro_f1=0.8084, lr=0.000804
Epoch 76/240: train_loss=0.1802, train_acc=0.9461, val_loss=0.1122, val_top1=0.9654, val_macro_f1=0.9127, lr=0.000799
Epoch 77/240: train_loss=0.1537, train_acc=0.9514, val_loss=0.2632, val_top1=0.9538, val_macro_f1=0.8905, lr=0.000793
Epoch 78/240: train_loss=0.1346, train_acc=0.9609, val_loss=0.2054, val_top1=0.9577, val_macro_f1=0.9045, lr=0.000788
Epoch 79/240: train_loss=0.1477, train_acc=0.9609, val_loss=0.1405, val_top1=0.9654, val_macro_f1=0.9284, lr=0.000782
